[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
72134,Salk Institution for Biological Studies,No,San Diego,CA,4HRI,99178000,4625500,44538760,8443889,664829, -   ,8066491,135783,377398,438015,10.3,55,3.8,40.8,4.5,1,191.3,11.8,2.3,41,0.2,100.2,46.3,16.8,0.7, -   ,14.5,2.2,24.3, -   ,1.7,0.8,0.7,10.5,8.3,8.5,2.2,19,2.3,6.8,60,1,43,26.9,37,34.5,1394907,701081,693826,373842,92489,99
72140,San Diego State University,No,San Diego,CA,5U,56630400,316864,46870141,584536,182086,   ,   ,   ,   ,44777,2.8,24.6,3,24.7,3.7,5,100.3,22.3,6.8,35.7, -   ,37.5,37.5,8.5,1.7,1.3,2,2.5,21,0.8,2.2,2.4,2.5,12.8,1.5,5.8,3.8,11,2,1.3,60,1,43,26.9,37,34.5,1394907,701081,693826,373842,92489,99
72222,Stanford University,Yes,Stanford,CA,5U,946378322,88135818,692367999,95110075,9580062,3183799,13222508,728689,78703768,3777870,199.8,597.5,13.3,299.7,5.5,21.5,1551.8,,33,490.2,5.2,630.8,158.8,92.7,15.7, -   ,59.7,22.5,269.3,,20,18.3,16.7,77,13,27,5,115.2,22,20,52,3,78,11.9,40,33.5,80438,37945,42493,31857,1376,
72299,Thomas Jefferson University,Yes,Philadelphia,PA,5U,74863271,9306428,56436686,1060000,360000, -   ,100000,8500,960000,19000,8.4,31.6,2.8,23.8,5.2, -   ,45.8,10.8,3.8,57.2, -   ,47,23.4,9.4,1.2,1,5.6,2.2,15.8, -   ,1.4,1,0.8,12.8,5.4,3.6,2.6,11.6,3,2,42,3,67,57.6,67,34.1,1567442,826172,741270,205339,61995,
72320,Tulane University,Yes,New Orleans,LA,5U,122042024,15079509,93412191,2172377,   , -   ,68750, -   ,2103627,   ,5.7,46.5,0.7,26.7, -   ,0.7,47.8,9.5,2.5,47,1.2,17.5,10.8,4.7,0.8, -   ,2.2,2.3,26, -   ,2.8,1.8,1.2,8.7,1.2,2,3.8,7,2,2,41,1,66,75.8,44,35.9,389617,203881,185736,21679,17388,96
72341,The UAB Research Foundation,Yes,Birmingham,AL,5U,516229000,48540000,328531000,3596587,1669247, -   ,1607606,709012,1988981,415688,15,80.5, -   ,35.5,3.3,1.2,215,30.7,5.2,91.3,1,135.8,86.3,24,2.2,1.5,18.8,1.2,35.5,0.2,2.3,1.8,1.7,31.5,13.2,9.5,2.5,25.2,5.4,4,38,1,31,78.4,21,35.6,214911,112789,102122,8258,13212,33
72342,University of Alabama in Huntsville,No,Huntsville,AL,5U,76633195,16603747,50619988,1028941,99876, -   ,1000000, -   ,28941,15189,3.3,11.5,2.3,8.3,0.2,1,9.2,11.2,1.2,21.8,1,6.7,6.2,1.8,1,0.2,0.7,0.7,5.8,1.7,2.8,2.8,2.7,5.8,0.3,0.5,1.7,2.5,1,1,39,1,40,33.7,11,38.1,189114,97350,91764,12691,16637,24
72345,University of Arizona,Yes,Tucson,AZ,5U,606219000,15558000,269959000,3895882,1692140, -   ,3152053,39216,743829,778984,23.2,153.3,4.7,79.3,0.5,3.2,315.2,61.8,15.3,161.2,0.2,85.7,48.8,47.2,2.2, -   ,31.8,18.5,74.2,2.6,7.5,6,2.6,64.3,25.7,24.3,15.7,65.7,8.3,6.5,49,1,66,54.5,35,33.6,531674,266781,264893,82220,38182,
72354,University of Central Florida,Yes,Orlando,FL,5U,215519000,8175000,88814000,1582117,1684908, -   ,522871,19800,1059246,160097,70.8,143.6,31.7,107.8,17.5,1,60.7,18,8.8,108.5, -   ,25.7,10.5,13.3,3, -   ,4.5,5.3,58.7,0.3,6.3,4.3,2.2,33.2,3.5,8.8,6.3,18.7,5,8,32,1,57,57.7,33,33.1,270917,139977,130940,50558,12782,41
72356,University of Cincinnati,Yes,Cincinnati,OH,5U,199951378,22309582,95731701,384998,532317, -   ,378248,25390,6750,124875,16.5,85.3,0.5,43.2,0.2,1,192.2,22.5,9.8,106.2, -   ,38.2,16.7,19.7,1.2, -   ,9.8,4.2,42.5,2.3,3.7,2.2,0.2,27.8,6.3,13.8,3.7,23.8,2.6,2.8,44,1,36,55,44,32.7,298537,154883,143654,16896,13699,49
72357,University of Colorado,Yes,Boulder,CO,5U,775055566,52831797,570365660,6311884,1519558,23304,1795130,61296,4493450,815047,41.5,226.8,101,306.5,108.7,7.3,237.3,100.7,21,233.7,0.8,141.8,67.5,36.5,9.7,10,15.5,16.7,117.7,4.7,10,8.2,4.8,65.3,11,20.2,22,53.2,11.5,10.6,37,1,86,25,47,29,107342,51000,56342,12993,4061,56
72358,University of Connecticut,Yes,Storrs,CT,5U,172065000,10073000,137980000,944520,983503, -   ,521010,12874,423510,175199,26.2,81.8,3.5,40.3, -   ,0.8,89.8,26.7,6.8,77, -   ,49,20.5,9.7,3.3,20.2,2.8,4.3,36.7,1.2,4.4,3.5,3.4,22.5,3.5,5.8,4.7,14,5.5,3,36,1,45,10.5,,,,,,,,
72361,University of Delaware,No,Newark,DE,5U,137402359,8951614,93690993,118108,552598, -   ,24720, -   ,93388,165560,13.8,61.8,8,66.8,5.3,1,38.7,5.7,3.2,49.8, -   ,17,15.7,5.8,1, -   ,2.7,0.2,53.3,3,2.2,1,1.3,9.8,0.7,3.3,2,6,3,2,42,3,61,58.5,27,,,,,,,42
72371,University of Hawaii,Yes,Honolulu,HI,5U,400510000,76096900,280357000,265974,235022, -   ,164620, -   ,101354,17737,6.2,59.5,0.6,48.6,0.2,1.5,54,8.3,4.4,46, -   ,18.7,10,4.2,0.8, -   ,0.3,1.2,47,1,2,2,0.7,6.7,0.8,3,1.5,5.3,5,0.5,20,1,51,25.5,56,,,,,,,66
72372,University of Houston,No,Houston,TX,5U,150628000,9604000,58458000,21986096,2097098, -   ,165257,8752,21820839,10067,20,76.8, -   ,53.2,10.5,0.6,53.3,17.3,4,57,2,18.8,12.3,5.5,1.2,0.2,1.5,1,42.7,0.5,3.3,3,1.7,10,0.8,3.5,2.2,6.5,6,2,44,3,49,58,36,32.6,2298628,1148942,1149686,696210,71898,
72373,University of Idaho,No,Moscow,ID,5U,97492825,2068669,56544247,418460,291520, -   , -   ,270292,418460,123709,5.8,16.7,6.5,16.7,3.2,0.2,42.3,2.8,3.8,21.2, -   ,20,11.2,7.5,0.2, -   ,3.7,1.2,7,0.2,0.7,0.3,0.3,9.7,1,7,0.7,8.7,2,1,36,1,58,24.1,,,,,,,,48
72379,University of Kentucky Research Foundation,Yes,Lexington,KY,5U,265722936,12991634,215931915,1047630,1295502, -   , -   , -   ,1047630,174155,29,18.5,18.5,18.5, -   , -   ,121,72.7,6.8,66.7,0.3,22.3,26.5,7.8, -   , -   ,1,0.3, -   ,1.5,5.2,4.5, -   ,8.8,2,1,5.2,8.2,2,1,46,1,46,37.9,27,34.4,314488,160456,154032,28613,16661,87
72389,University of Michigan,Yes,Ann Arbor,MI,5U,1299244971,91388631,734623556,78779947,6971334,45896,71288641,1168588,7445410,4136537,114.8,330.2,18.7,156.8,1.2,7.5,400,119.8,33,372.5,3.3,290.3,196.5,98.7,8.3, -   ,65.7,24.8,137,0.5,12.3,8.8,7.7,162.7,34.3,61.7,27.5,123.5,11,19,41,1,71,27.9,49,28.1,117070,58281,58789,20717,3614,98
72390,University of Minnesota,Yes,Minneapolis,MN,5U,910195000,26155000,486400000,18526963,4239806, -   ,2387670,1852227,16139293,1710889,54.2,202.3,6.5,119.7,1.2,11,752.3,45.6,39.5,309,2.3,391,264.8,124,7.2, -   ,84.5,5,111.5,2.6,12.3,9.2,7.2,163.7,66,50.7,12.3,129,19,13,41,1,83,54.2,55,32.4,410935,204388,206547,70769,15217,
72399,University of New Hampshire,No,Durham,NH,5U,104471295,9462144,64148186,732714,225563, -   ,572108, -   ,160606,81371,4.3,8.8,2,9.2,2,5.6,155.8,5.6,4.3,37.5, -   ,59.3,35.6,38.7,0.3,1.5,15.4,0.7,3.2, -   ,0.8,0.8,0.4,16,29,15.6,0.8,39.3,3,4,30,3,59,12.5,,,,,,,,
72401,University of North Carolina Chapel Hill,Yes,Chapel Hill,NC,5U,732305668,29368257,593890145,2951592,3373817, -   ,2542494,71182,409098,2603353,33.3,150.3,2,73, -   ,3.2,577.5,62.3,32.7,142.8,0.5,92.7,46,48.3,19.7, -   ,15.7,3.7,71,1.5,9,7.3,6.2,49.8,12.2,15.2,24.7,52,8,8,37,1,50,22.8,37,33.2,257598,136445,121153,38642,12528,74
72404,University of North Texas Health Science Center,Yes,Fort Worth,TX,5U,39235790,2376447,21295812,6983,55746, -   , -   , -   ,6983,13444,2.2,9.8, -   ,5.3, -   ,0.3,28.2, -   ,1,21.2, -   ,15.5,11,2.5,0.2,0.3,1.5,1.5,5.3,0.2,0.5,0.3, -   ,3.5,1.2,1.8,1,4,1.3,1,45,3,39,46.3,22,32.6,836969,422843,414126,143404,39182,86
72406,University of Northern Iowa,No,Cedar Falls,IA,5U,38900000,1075000,14000000,   ,32200,   ,   , -   ,   , -   ,1.5,3.5,1,2.8,0.3,1.8,9,1.5,2.3,10.5, -   ,5.5,7.5,2.3, -   ,250, -   ,0.5,1.8,0.5,1,1, -   ,5.8,1.5,1,0.3,2.8,0.5,0.3,40,1,56,18.3,20,37.2,68457,33969,34488,5082,4800,38
72407,University of Notre Dame,No,South Bend,IN,5U,190954170,4796232,83709500,586427,760636, -   ,239172,698,347255,216564,14.2,82.7,3.5,51.3,0.2,1.5,35.7,9.5,5.3,60.2, -   ,13.5,4,8.2,2,6.7,2.8,2.2,47.7,0.2,2.2,1.3,1.5,18.2,2.8,3,4.5,10.3,3.5,0.2,42,1,58,63.8,,32.4,103757,53274,50483,8779,3708,69
72411,University of Oregon,No,Eugene,OR,5U,73519886,476948,68103597,8037987,236382, -   ,6895690,84941,1142297,114768,6,20,1.3,13.3,1.3,5.2,142.3,19.5,2.2,35.2, -   ,46,24.8,39,1,16.7,36.8,0.5,10.7,0.2,1.5,1.3,0.8,17.7,10.7,24.7,4.2,39.5,4.3,1.8,41,1,72,46.4,32,33.4,163448,84377,79071,14503,8896,46
72416,University of Pennsylvania,Yes,Philadelphia,PA,5U,888442377,99074576,684639118,41992115,8846576,9999584,22180022,290750,9812509,4272390,82.5,273,2.3,133.3,1.3,4.6,613,54.8,24.5,388.5,3.2,216,115.3,89.2,5.3, -   ,64.7,26,129.5,8.3,14.8,14.3,14.7,163.7,31,72.7,11.5,115.2,14,42,42,3,67,57.6,67,34.1,1567442,826172,741270,205339,61995,
72424,University of Rhode Island,No,Kingston,RI,5U,   ,   ,   ,192878,252562,70136,45750, -   ,76992,11267,6,31.3,2.3,16.3, -   ,4,31.3,2,1.3,20, -   ,22,16.7,5, -   ,2,3.7,1,14,0.5, -   , -   , -   ,5,4.3,1.7, -   ,6,1,1.5,37,1,38,27.4,,39.9,81077,42712,38365,10631,4702,
72425,University of Rochester,Yes,Rochester,NY,5U,342361000,25912000,257368000,22386564,2635644,131816,976832,27158,21277916,1506355,33.8,149.7,3.2,62.3, -   ,4,134.8,32.8,8.7,138.2,2.8,60,28,19.3,2.2, -   ,10.7,5,59.2,1.7,2.7,2.2,1.2,34.5,3.3,14,7,24.3,6,8.5,40,1,60,63,41,31.4,209808,109673,100135,17735,7288,61
72428,University of South Alabama,Yes,Mobile,AL,5U,55592056,7394071,47231332,2327964,204000, -   , -   , -   ,2327964, -   ,2.3,11,4.8,11,1, -   ,8.2,2,3.8,16,1,4,1.8,3.4,0.2, -   ,0.3,0.7,8, -   ,1.2,1.2,0.2,7,0.8,2,2,3.8,2,3,36,1,34,58.1,,38,194305,103030,91275,7234,11939,32
72429,University of South Carolina,Yes,Columbia,SC,5U,208736000,9411000,90453000,243944,578054, -   ,155387, -   ,88557,90051,21.3,90,0.5,43.2,0.7,2.7,51.8,22.5,3.8,59.7,0.2,10,6.8,5.3,0.8,26.7,1.5,3.7,42,1,2.8,2.4,0.3,26.3,1,3.3,4.7,9,2.5,1.5,36,1,35,63.8, -   ,28,133393,65707,67686,6074,5708,35
72431,University of South Florida,Yes,Tampa,FL,5U,494241000,28499000,221045000,2455127,2292435,158785,2143316,   ,153026,492318,90.3,266.3,2.7,94, -   ,2.7,249.5,49.8,15.5,178.3,0.2,88,28.5,50,5, -   ,34.5,18.3,91.3,5.2,9,7.2,3,52.2,24.8,32.5,11,68.3,7,7.3,33,1,55,48.4,31,35.3,369028,193511,175517,58795,20636,50
72432,University of Southern California,Yes,Los Angeles,CA,5U,691031888,32861868,421226936,6465170,3126005,159139,857364,193376,5448667,1477412,74.5,239.2,0.7,130.8,0.5,1.5,230,53.5,16.8,224.5,1.3,52.8,23.3,27.7,10.8,6,10.8,7.2,130.3,1.2,8.8,6,7.2,68.7,9.3,11.7,13.8,34.8,8.9,12.7,73,3,59,30.5,53,35,3971896,2012898,1958998,1485425,85417,96
72438,University of Tennessee,Yes,Knoxville,TN,5U,313691401,30187918,162073930,3036281,688352,2026088,508571,35412,501622,284713,26.8,82,0.7,57.2,16.3,3.2,168.2,31.2,7.3,122.5,0.2,44.8,20.7,13.2,1.8,0.6,5.8,5.3,39.8,0.7,3.8,3.7,1.7,22.5,5.8,9.3,3.3,18.5,8,10,41,1,30,58.1,27,33.1,185312,95334,89978,10285,10897,31
72448,University of Utah,Yes,Salt Lake City,UT,5U,417249441,81348846,253437799,60038273,2188549,533408,50722533,446406,8782332,472271,69,237.5,8.3,94.5, -   ,3.8,293,162.8,53.5,213.5,2.7,105,48.3,75.8,15.8, -   ,22.3,8,86.2,9.2,17.7,14,13.5,124.2,17.3,48.8,17.7,83.8,10,31.4,43,1,74,52.8,44,32.1,192660,94296,98364,32166,6829,81
72501,Virginia Commonwealth University,Yes,Richmond,VA,5U,218925000,6924000,142447000,2570679,514882,211012,1132454,72307,1227213,335765,10.8,117.8,18,122.8,25.2, -   ,125.3,17.3,5.2,102, -   ,35.2,22.7,9.5,2.3,6.3,4.3,3,79.7,0.7,2.8,3.3,3,11.5,3.5,6.2,2.8,12.5,3,2,39,1,51,55.9,,33.6,220289,115496,104793,15741,12538,51
72502,Virginia Tech Intellectual Properties Inc.,Yes,Blacksburg,VA,5U,504282000,30292000,196096000,1968947,1135560,963,170131,261742,1797853,806601,23.7,135.5,2.8,99.5,1.5,1.7,161.3,16.3,13.5,151.7, -   ,59.2,27.8,25.7, -   ,22.3,12.2,7.3,94.3,1.8,4.3,3, -   ,129.4,18,10.7,4.3,33,3.8,4.5,38,1,65,22.5,38,,,,,,,43
72506,Wake Forest University,Yes,Winston-Salem,NC,5U,200133060,11682448,155946761,2206265,   ,   ,   ,   ,   ,   ,13.5,61.7, -   ,37.3, -   ,,,18.7,5.3,78,1.3,12,10.8,19.3,1.5,,13,2.3,36,2,4.3,2.5, -   ,12,,,5,21.5,5,6,38,1,29,55.2,,34.7,241232,128712,112520,24302,14521,22
72513,Washington University in St. Louis,Yes,St. Louis,MO,5u,612580000,125425000,487155000,29715064,2269441,   ,   ,425254,   ,964775,28.8,93.8,21.5,94.3,16.8,1.2,1802.8,26.8,8.7,138.8,0.5,237.3, -   ,46.5,1, -   ,37.8,8.5,56,1.3,3,2,1.7,37.3,,,3,55,7,11,45,1,58,76,43,35,315685,162659,153026,21802,17060,80
72514,Wayne State University,Yes,Detroit,MI,5U,213878000,18719000,109586000,695000,1106512, -   ,585256, -   ,109744,109332,15.2,62.3,0.7,28.8,0.2,0.5,82.7,18.6,2.3,61, -   ,29.2,19,4.2,1.3,0.8,1.8,2.2,28,1.4,1.8,1.5,1.2,9,1.5,2,2.8,6.3,4,6,44,1,52,78.1,36,34.8,677124,357859,319265,39861,29511,
72518,West Virginia University,Yes,Morgantown,WV,5U,97675215,17490045,50278608,27793,159350,1279,10000, -   ,16514,25280,5.4,24.2,8.8,24.2,0.2,2,31,8.6,4,39.4, -   ,6.8,6.4,5.8,0.6,2,1.8,0.8,15.2,0.8,1.2,0.8,0.2,9.8,1.4,3.4,1.8,6.6,1,3,39,1,40,42.4,,,,,,,,59
72526,Whitehead Institute for Biomedical Research,No,Cambridge,MA,4HRI,47402000,435605,12755000,6329410,1251987,1116993,871246,1347724,4341171,756326,15.8,57,14,52.6,17.8,1,101.2,13.2,4.6,29.2,1,58.4,25.8,15,1.4, -   ,10.4,3.6,20.8,0.4,2.2,1.6,1.6,26.4,7.2,5.2,6.2,18.6,5, -   ,35,3,96,31.5,70,31.5,110402,54981,55421,27757,2495,90
72548,Woods Hole Oceanographic Institution,No,Falmouth,MA,4HRI,203269655, -   ,172136096,433633,156877, -   , -   , -   ,433633, -   ,3.5,17,1,9, -   , -   ,13.5,6,2,31.5, -   ,13,13,2, -   , -   , -   , -   ,8, -   ,1,1, -   ,1, -   ,2, -   ,2,1,2.5,34,3,64,24,,38.6,94959,51166,43793,19024,4185,
72554,Wright State University,Yes,Dayton,OH,5U,54289000,1983000,26931000,28137,119372, -   ,16700, -   ,11437, -   ,2.8,9.3, -   ,5.2, -   , -   ,8.7, -   ,0.2,14.5, -   ,4,2.5,1.2, -   , -   ,1,0.5,5.2, -   , -   , -   , -   ,1.7,0.3,1.2,0.2,1.7,1,1,42,1,47,67.4,,32.8,140597,73966,66631,7381,8465,45
72579,Marquette University,No,Milwaukee,WI,5U,24816000,942000,9320000,925802,151708, -   ,925802, -   , -   ,122382,7,8,1,8,3,,23, -   ,1,12, -   ,21, -   ,1, -   ,, -   , -   ,4, -   , -   , -   , -   ,1, -   ,1, -   ,1,2, -   ,42,1,58,63.5,49,31.6,600154,313839,286315,58321,20615,
72596,University of Nevada at Reno,Yes,Reno,NV,5U,177179597,1559500,167286328,165193,268301, -   , -   , -   ,165193,40617,12.2,43.2,0.4,12.2, -   ,1.3,21.4,5,0.8,25, -   ,9.8,9.8,1.6, -   ,0.8,0.8,0.2,11.8, -   ,0.6,0.6,0.2,1.2,0.8,1, -   ,1.8,2,1,47,1,52,57.3,24,35.7,241443,119151,122292,37070,17089,40
72597,University of North Carolina Charlotte,No,Charlotte,NC,5U,34149924,4846711,26212688,37298,294137, -   ,10500, -   ,26798, -   ,10.2,58.2,15.8,60.8,3.7,0.5,52,36.8,1.8,39.2, -   ,5.5,1.7,4.5,0.8,1.5,2.7,7.3,41.2, -   ,3.7,3.3,0.7,4,9.5,1,1.3,11.8,   ,   ,39,1,31,45.8,27,34.3,827121,430475,396646,128897,36046,26
80010,Brandeis University,No,Waltham,MA,5U,62589556,13553638,49035918,2132599,811622, -   ,211929,258706,1920670,372839,7.3,31.3,3.3,17.3,2.7,1.5,42,3,1.7,40,0.7,9.3,7.7,3,0.7,1,1.3,0.7,11.3, -   ,1,1,2,10.7, -   ,2.7,1,3.7,3.5,1.5,35,3,47,20.3,32,42.3,88809,46824,41985,21692,1814,57
80498,Northern Illinois University,No,Dekalb,IL,5U,13712855,781587,9811366,92568,427039, -   ,80000, -   ,12568, -   ,3.8,6.7,2.7,7.8,2.8,0.3,3, -   ,0.5,8, -   ,2.2,2.2,0.5,0.2, -   , -   ,0.2,2.3, -   , -   , -   , -   ,0.7,0.2,0.5, -   ,0.7,1,1,44,1,61,35,,31.7,203715,101751,101964,50980,4988,38
80648,Idaho State University,No,Pocatello,ID,5U,14923721,937969,13205788, -   ,32016, -   , -   , -   , -   , -   , -   ,2,1.3,2, -   , -   ,0.3, -   , -   ,4.7, -   ,0.3,0.3,0.3, -   , -   ,0.3, -   ,0.8, -   , -   , -   , -   ,0.8, -   , -   , -   ,0.3,1,1,38,1,42,39.3,,,,,,,,37
80658,Children's Hospital of Philadelphia,No,Philadelphia,PA,4HRI,86613396,4053507,54739667,418374,1109724, -   ,104593, -   ,313781,246809,5.8,39.5,7,83.5,47,0.5,34.3,1,4.3,52.3, -   ,24,16.5,7.8,1, -   ,3.5,1,29.5, -   ,0.8,0.8,0.8,6.5,1.5,6.5,0.8,8.8,1,9,42,3,67,57.6,67,34.1,1567442,826172,741270,205339,61995,
80839,Louisiana Tech University,No,Ruston,KY,5U,23826668,708252,5776387,160289,109255, -   ,25289, -   ,135000,18761,6.8,14.2,3.7,9.6,0.3,0.3,12.8,9.7,2.3,19.7, -   ,8,3.7,2.5,0.3,0.5,0.2,1.5,5.8,0.2,1.3,1.2,0.3,4.2,1.2,1.2,1.3,4,   ,   ,37,1,28,44.8,,,,,,,,25
81039,Baylor College of Medicine,Yes,Houston,TX,5U,377877523,14780570,233447447,5992122,569018, -   ,2124778,   ,3867344,58375,8.5,53.3, -   ,35.7, -   ,5.7,689.7,35.7,18,99.5,2.5,147.8,72,42.2,1.7,2.7,24.2,4.5,50,0.6,4.6,3,1.2,58.8,11.5,30.8,4.3,46.7,6,3,44,3,49,58,36,32.6,2298628,1148942,1149686,696210,71898,
81632,The Research Foundation for The State University of New York,Yes,Albany,NY,5U,899299704,191923557,487446830,18270234,3490556,1893922,7227990,32308,9148322,1098665,68.3,243.5,9.5,139.3,1.5,3,462,76,18.3,282.8,2.8,143.8,85.8,36,3.8,22.3,17.8,15,129.3,2,9,6.5,7,67.5,14,23,14,51,17.3,10.1,41,1,55,35.4,52,32.8,98452,50825,47627,11948,3643,65
82857,University of North Florida,No,Jacksonville,FL,5U,8225385,285785,4686424,10090,12000, -   ,10090, -   , -   , -   , -   ,1,1,1, -   ,, -   , -   ,,1, -   ,2,1,, -   , -   ,,, -   , -   , -   , -   , -   ,, -   , -   , -   ,,   ,   ,29,1,41,49.8,21,35.7,868031,448828,419203,85650,75432,26
